10.241.51.92	443
10.210.152.94	80
10.210.144.13	80
10.210.144.13	443
10.210.144.13	8080
10.210.144.13	22
10.210.144.18	80
10.210.144.18	443
10.210.144.18	8080
10.210.144.18	22
10.210.144.115	80
10.210.144.115	443
10.210.146.49	80
10.210.146.49	443
10.210.146.49	8080
10.210.146.49	22
10.210.146.50	80
10.210.146.50	443
10.210.146.50	8080
10.210.146.50	22
10.210.252.51	80
10.210.252.51	443
10.210.252.51	8080
10.210.252.51	22
10.210.252.54	80
10.210.252.54	443
10.210.252.54	8080
10.210.252.54	22
10.210.252.56	80
10.210.252.56	443
10.210.252.56	8080
10.210.252.56	22
10.210.252.57	80
10.210.252.57	443
10.210.252.57	8080
10.210.252.57	22
10.210.252.68	80
10.210.252.68	443
10.210.252.68	8080
10.210.252.68	22
10.210.252.69	80
10.210.252.69	443
10.210.252.69	8080
10.210.252.69	22
10.210.228.34	80
10.210.228.34	443
10.210.228.34	8080
10.210.228.34	22
10.210.228.49	80
10.210.228.49	443
10.210.228.49	8080
10.210.228.49	22
10.210.228.50	80
10.210.228.50	443
10.210.228.50	8080
10.210.228.50	22
10.210.228.51	80
10.210.228.51	443
10.210.228.51	8080
10.210.228.51	22
10.210.228.54	80
10.210.228.54	443
10.210.228.54	8080
10.210.228.54	22
10.210.146.36	80
10.210.146.36	443
10.210.146.36	8080
10.210.146.36	22
10.210.148.22	80
10.210.148.22	443
10.210.148.22	8080
10.210.148.22	22
10.210.148.25	80
10.210.148.25	443
10.210.148.25	8080
10.210.148.25	22
10.210.148.29	80
10.210.148.29	443
10.210.148.29	8080
10.210.148.29	22
10.210.148.30	80
10.210.148.30	443
10.210.148.30	8080
10.210.148.30	22
10.210.144.115	80
10.210.144.115	443
10.210.148.246	80
10.210.148.246	443
10.210.148.246	80
10.210.148.246	443
10.210.146.246	80
10.210.146.246	443
10.210.244.221	80
10.210.244.221	443
10.210.236.221	80
10.210.144.15	80
10.210.144.15	443
10.210.144.15	8080
10.210.144.15	22
10.210.146.52	80
10.210.146.52	443
10.210.146.52	8080
10.210.146.52	22
10.210.154.16	80
10.210.154.16	443
10.210.154.16	8080
10.210.154.16	22
10.210.154.17	80
10.210.154.17	443
10.210.154.17	8080
10.210.154.17	22
10.210.252.192	80
10.210.252.192	443
10.210.252.192	8080
10.210.252.192	22
10.210.252.193	80
10.210.252.193	443
10.210.252.193	8080
10.210.252.193	22
10.210.146.40	80
10.210.146.40	443
10.210.146.40	8080
10.210.146.40	22
10.210.148.33	80
10.210.148.33	443
10.210.148.33	8080
10.210.148.33	22
10.210.148.34	80
10.210.148.34	443
10.210.148.34	8080
10.210.148.34	22
10.210.144.15	80
10.210.148.193	443
10.210.146.52	80
67.217.234.121	443
10.210.144.12	8080
10.210.144.12	22
10.210.144.12	8080
66.179.38.220	8080
54.163.244.164	80
10.210.148.9	22
10.210.148.9	8080
10.210.148.12	22
10.210.148.12	8080
10.210.148.20	22
10.210.148.20	8080
10.210.148.21	22
10.210.148.21	8080
10.210.148.238	8080
10.210.148.238	8080
10.210.148.238	8080
23.21.236.134	80
54.235.138.105	80
66.179.38.221	8080
10.210.146.38	8080
54.221.251.242	80
10.210.252.40	8080
10.210.252.44	8080
10.210.252.49	8080
10.210.252.50	8080
10.210.228.23	8080
10.210.228.25	8080
10.210.228.31	8080
10.210.228.33	8080
